P,hairdryer,kettle,vacuum,lamp,fan
805.4783999999999,0,0,0,0,1
832.7577599999998,0,0,0,0,1
813.95712,0,0,0,0,1
802.89792,0,0,0,0,1
805.1097599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,0,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
803.2665599999999,0,0,0,1,1
804.3724799999999,0,0,0,1,1
804.7411199999999,0,0,0,1,1
804.7411199999999,0,0,0,1,1
804.00384,0,0,0,1,1
803.6351999999999,0,0,0,1,1
804.00384,0,0,0,1,1
803.6351999999999,0,0,0,1,1
804.3724799999999,0,0,0,1,1
803.6351999999999,0,0,0,1,1
803.6351999999999,0,0,0,1,1
1065.0009599999998,0,0,0,1,1
1831.4035199999998,0,0,0,1,1
1978.85952,0,0,0,1,1
1847.6236800000001,0,0,0,1,1
1700.53632,0,0,0,1,1
1601.0035199999998,0,0,0,1,1
1543.1270399999999,0,0,0,1,1
1507.7376,0,0,0,1,1
1489.3056,0,0,0,1,1
1476.7718399999999,0,0,0,1,1
1470.5049599999998,0,0,0,1,1
1463.86944,0,0,0,1,1
1463.13216,0,0,0,1,1
1460.5516799999998,0,0,0,1,1
1459.8144,0,0,0,1,1
1458.7084799999998,0,0,0,1,1
1457.9712,0,0,0,1,1
1456.86528,0,0,0,1,1
1455.0220799999997,0,0,0,1,1
1456.128,0,0,0,1,1
1453.9161599999998,0,0,0,1,1
1456.128,0,0,0,1,1
1455.75936,0,0,0,1,1
1455.3907199999999,0,0,0,1,1
1455.3907199999999,0,0,0,1,1
